iter	Passed	Remaining
410	3791	5432
411	3798	5421
412	3806	5410
413	3814	5399
414	3823	5389
415	3831	5379
416	3839	5368
417	3848	5357
418	3856	5347
419	3864	5336
420	3874	5328
421	3883	5319
422	3891	5308
423	3899	5297
424	3908	5287
425	3916	5276
426	3923	5265
427	3932	5255
428	3940	5244
429	3948	5234
430	3956	5223
431	3965	5213
432	3973	5202
433	3981	5193
434	3989	5182
435	3997	5171
436	4005	5160
437	4015	5151
438	4023	5141
439	4032	5132
440	4040	5121
441	4048	5110
442	4055	5099
443	4063	5088
444	4071	5078
445	4080	5068
446	4088	5057
447	4096	5047
448	4103	5036
449	4113	5027
450	4123	5019
451	4133	5011
452	4144	5004
453	4153	4995
454	4164	4987
455	4174	4980
456	4184	4972
457	4195	4964
458	4205	4956
459	4215	4948
460	4229	4944
461	4249	4948
462	4260	4941
463	4269	4932
464	4278	4922
465	4286	4912
466	4295	4903
467	4304	4893
468	4311	4881
469	4320	4871
470	4328	4860
471	4335	4850
472	4344	4840
473	4352	4829
474	4360	4819
475	4367	4808
476	4376	4798
477	4383	4787
478	4391	4776
479	4400	4766
480	4407	4755
481	4415	4745
482	4423	4734
483	4431	4724
484	4439	4714
485	4448	4704
486	4455	4693
487	4464	4683
488	4472	4673
489	4482	4665
490	4493	4657
491	4502	4649
492	4511	4639
493	4519	4629
494	4527	4619
495	4536	4609
496	4544	4599
497	4552	4589
498	4561	4580
499	4569	4569
500	4577	4558
501	4584	4548
502	4592	4537
503	4600	4527
504	4610	4519
505	4620	4510
506	4632	4504
507	4643	4497
508	4654	4489
509	4665	4482
510	4679	4477
511	4694	4474
512	4705	4467
513	4718	4461
514	4730	4454
515	4742	4448
516	4753	4440
517	4765	4433
518	4778	4428
519	4789	4421
520	4800	4413
521	4811	4405
522	4821	4397
523	4829	4386
524	4838	4377
525	4846	4367
526	4854	4356
527	4862	4346
528	4871	4337
529	4878	4326
530	4887	4316
531	4895	4306
532	4904	4297
533	4914	4288
534	4926	4282
535	4938	4274
536	4950	4268
537	4961	4260
538	4972	4252
539	4984	4246
540	4996	4238
541	5008	4231
542	5019	4224
543	5030	4216
544	5042	4210
545	5056	4204
546	5068	4197
547	5076	4187
548	5086	4178
549	5095	4169
550	5103	4158
551	5112	4148
552	5122	4140
553	5132	4131
554	5142	4123
555	5151	4113
556	5162	4106
557	5175	4099
558	5194	4097
559	5209	4093
560	5229	4092
561	5248	4090
562	5270	4090
563	5295	4093
564	5313	4091
565	5328	4085
566	5345	4081
567	5365	4081
568	5390	4082
569	5430	4096
570	5465	4106
571	5499	4114
572	5551	4136
573	5584	4144
574	5611	4147
575	5634	4147
576	5723	4196
577	5757	4203
578	5798	4215
579	5841	4230
580	5859	4225
581	5873	4218
582	5886	4210
583	5896	4200
584	5908	4191
585	5919	4182
586	5929	4171
587	5941	4163
588	5957	4157
589	5969	4148
590	5981	4139
591	5996	4132
592	6008	4123
593	6019	4114
594	6031	4105
595	6042	4096
596	6055	4087
597	6067	4078
598	6080	4070
599	6092	4061
600	6103	4051
601	6114	4042
602	6126	4033
603	6140	4025
604	6150	4015
605	6162	4006
606	6176	3998
607	6187	3989
608	6198	3979
609	6207	3969
610	6219	3959
611	6230	3950
612	6240	3939
613	6252	3930
614	6262	3920
615	6272	3910
616	6283	3900
617	6294	3890
618	6303	3879
619	6314	3869
620	6324	3859
621	6334	3849
622	6346	3840
623	6358	3831
624	6374	3824
625	6389	3817
626	6405	3810
627	6421	3803
628	6436	3796
629	6465	3797
630	6491	3796
631	6511	3791
632	6524	3783
633	6541	3776
634	6551	3765
635	6562	3756
636	6575	3747
637	6587	3737
638	6598	3727
639	6609	3717
640	6619	3707
641	6631	3697
642	6641	3687
643	6654	3678
644	6668	3670
645	6678	3659
646	6694	3652
647	6721	3651
648	6760	3656
649	6791	3656
650	6821	3656
651	6838	3649
652	6852	3641
653	6864	3631
654	6874	3620
655	6886	3611
656	6897	3601
657	6906	3589
658	6916	3578
659	6926	3568
660	6936	3557
661	6948	3547
662	6958	3536
663	6968	3526
664	6978	3515
665	6989	3505
666	7000	3495
667	7012	3485
668	7026	3476
669	7037	3466
670	7049	3456
671	7060	3446
672	7071	3436
673	7082	3425
674	7094	3415
675	7106	3406
676	7117	3395
677	7129	3385
678	7140	3375
679	7152	3366
680	7165	3356
681	7177	3346
682	7187	3335
683	7196	3324
684	7214	3317
685	7226	3307
686	7241	3299
687	7252	3289
688	7265	3279
689	7276	3269
690	7290	3260
691	7300	3249
692	7315	3240
693	7327	3230
694	7341	3221
695	7359	3214
696	7377	3207
697	7389	3197
698	7402	3187
699	7412	3176
700	7426	3167
701	7440	3158
702	7455	3149
703	7470	3140
704	7483	3131
705	7495	3121
