iter	RMSE
170	119.3570775
171	119.3316959
172	119.2883248
173	119.2380408
174	119.2033833
175	119.1729221
176	119.1290511
177	119.0774661
178	119.0456265
179	119.0141885
180	118.9568037
181	118.9095514
182	118.8740344
183	118.8514603
184	118.8004363
185	118.7419096
186	118.6884359
187	118.6580073
188	118.6063895
189	118.5575953
190	118.5040889
191	118.4444433
192	118.4007652
193	118.3906224
194	118.3470451
195	118.288012
196	118.2347357
197	118.2004653
198	118.1670328
199	118.1048418
200	118.0726802
201	118.0077939
202	117.9684053
203	117.9116944
204	117.8898015
205	117.8445647
206	117.8082119
207	117.7535973
208	117.7262139
209	117.6647076
210	117.6237784
211	117.5697165
212	117.4982304
213	117.4724017
214	117.4138753
215	117.3653741
216	117.3289377
217	117.2654108
218	117.2323525
219	117.176804
220	117.1423736
221	117.1012833
222	117.0719237
223	117.0092636
224	116.9538297
225	116.9034442
226	116.8744703
227	116.8345785
228	116.7916181
229	116.7608721
230	116.7220229
231	116.6805524
232	116.6281933
233	116.598917
234	116.5734807
235	116.513151
236	116.4865821
237	116.428574
238	116.3756149
239	116.3445101
240	116.3004745
241	116.2617732
242	116.2371862
243	116.2087861
244	116.1560779
245	116.1214964
246	116.0910711
247	116.0645497
248	116.0301222
249	115.9995131
250	115.9711017
251	115.9487243
252	115.9262156
253	115.8719996
254	115.8493116
255	115.8088311
256	115.768189
257	115.7181879
258	115.6757314
259	115.6308978
260	115.6079877
261	115.547233
262	115.51629
263	115.4609625
264	115.4336702
265	115.4213466
266	115.3950035
267	115.3747411
268	115.3316103
269	115.320682
270	115.2610567
271	115.2323427
272	115.2113068
273	115.1797205
274	115.1374199
275	115.1139988
276	115.0887502
277	115.0594273
278	115.0208882
279	115.0065805
280	114.9695751
281	114.9454023
282	114.9258048
283	114.9050107
284	114.8378575
285	114.8117981
286	114.7796615
287	114.7449154
288	114.723641
289	114.6657056
290	114.6362079
291	114.6256055
292	114.5868617
293	114.5734691
294	114.5379629
295	114.4896065
296	114.4622016
297	114.4442216
298	114.42819
299	114.4007478
300	114.3842044
301	114.3637408
302	114.3333712
303	114.2887647
304	114.2719737
305	114.2540494
306	114.2201239
307	114.2148029
308	114.199826
309	114.1847918
310	114.1530258
311	114.139479
312	114.0966066
313	114.0831632
314	114.0672979
315	114.0451244
316	113.9919987
317	113.9521804
318	113.9214423
319	113.8807492
320	113.8594023
321	113.7795254
322	113.7471245
323	113.7397881
324	113.7297658
325	113.7079605
326	113.6909391
327	113.6772004
328	113.651756
329	113.6333544
330	113.6037793
331	113.5702311
332	113.5072786
333	113.4949681
334	113.4617252
335	113.3913475
336	113.367932
337	113.3164142
338	113.2827762
339	113.2180361
340	113.1924141
341	113.1653392
342	113.1195506
343	113.0920726
344	113.0606701
345	113.0244685
346	113.004176
347	112.9805576
348	112.9582236
349	112.9199982
350	112.8731787
351	112.8302607
352	112.79841
353	112.7312295
354	112.6827662
355	112.6615573
356	112.6482232
357	112.6188994
358	112.5878943
359	112.5579365
360	112.5366496
361	112.5120154
362	112.5013967
363	112.4722395
364	112.4527042
365	112.3996843
366	112.3634908
367	112.3220435
368	112.2875147
369	112.2529965
370	112.2345971
371	112.2027237
372	112.1665976
373	112.1128052
374	112.0886279
375	112.0695873
376	112.0335158
377	112.0104514
378	111.9732843
379	111.9519276
380	111.9236128
381	111.8932837
382	111.8716855
383	111.8596972
384	111.839267
385	111.8143024
386	111.7901387
387	111.7458173
388	111.7190493
389	111.6877498
390	111.6537181
391	111.6119948
392	111.5523363
393	111.5162645
394	111.5012426
395	111.4820737
396	111.4414239
397	111.3991137
398	111.3661614
399	111.3161261
400	111.2952289
401	111.2779645
402	111.2536237
403	111.214117
404	111.1880163
405	111.1522018
406	111.1240639
407	111.105472
408	111.0641349
409	111.0226103
410	110.9979217
411	110.9722932
412	110.9522662
413	110.9291993
414	110.8799913
415	110.8485735
416	110.8270288
417	110.7981348
418	110.7588657
419	110.7242857
420	110.6952763
421	110.6758832
422	110.6412612
423	110.6290421
424	110.5813651
425	110.5725941
426	110.5567002
427	110.5386747
428	110.4953254
429	110.4585153
430	110.4229604
431	110.384145
432	110.370227
433	110.3347901
434	110.28325
435	110.2678678
436	110.2317135
437	110.2045332
438	110.1420539
439	110.1277986
440	110.0988966
441	110.0814147
442	110.0707179
443	110.0392793
444	110.018361
445	109.975761
446	109.9337446
447	109.8832199
448	109.8712623
449	109.8570217
450	109.8089413
451	109.7941881
452	109.752893
453	109.7408199
454	109.719302
455	109.6923467
456	109.6711823
457	109.6393869
458	109.6036959
459	109.5816213
460	109.5668739
461	109.548715
462	109.5357814
463	109.515322
464	109.4943051
465	109.4496928
466	109.4373227
467	109.4059205
468	109.3730219
469	109.3357916
470	109.3100706
471	109.2967163
472	109.258436
473	109.2471579
474	109.2109119
475	109.200234
476	109.1557949
477	109.1452467
478	109.1176964
479	109.082834
480	109.0733051
481	109.0509712
482	109.0413399
483	109.0164395
484	108.9876697
485	108.9595013
486	108.9516823
487	108.9144864
488	108.8936704
489	108.8662764
490	108.851847
491	108.8446441
492	108.819034
493	108.8019378
494	108.7853989
495	108.7451498
496	108.7160011
497	108.6938614
498	108.6602543
499	108.648736
500	108.6053735
501	108.5793571
502	108.5628125
503	108.5324521
504	108.5024072
505	108.4943465
506	108.4609814
507	108.4389627
508	108.4067997
509	108.396644
510	108.372719
511	108.3366131
512	108.3186058
513	108.2943927
514	108.2672022
515	108.2481816
516	108.2372712
517	108.2186179
518	108.192547
519	108.1671975
520	108.1371727
521	108.1271233
522	108.1213781
523	108.1039746
524	108.0805667
525	108.0481081
526	108.0316032
527	108.0114188
528	107.998893
529	107.9747233
530	107.9517141
531	107.9363611
532	107.9042208
533	107.875856
534	107.84678
535	107.8375122
536	107.8176187
537	107.7937633
538	107.7819919
539	107.7492314
540	107.7255001
541	107.7098996
542	107.6899271
543	107.6691047
544	107.6260228
545	107.5839349
546	107.5626595
547	107.5424275
548	107.5237172
549	107.4993535
550	107.4770325
551	107.463901
552	107.4458421
553	107.4246596
554	107.4013396
555	107.3918664
556	107.3440696
557	107.328143
558	107.3132158
559	107.2999297
560	107.2620048
561	107.2197754
562	107.2039222
563	107.1870024
564	107.1726126
565	107.1506302
566	107.1254851
567	107.1077661
568	107.0882048
569	107.0734096
570	107.0497423
571	107.0414129
572	106.9922745
573	106.9824515
574	106.9554604
575	106.9285395
576	106.9106461
577	106.8938704
578	106.8743896
579	106.8661425
580	106.8362756
581	106.7984588
582	106.7751531
583	106.7560225
584	106.7079048
585	106.6928225
586	106.6715342
587	106.6516001
588	106.6304124
589	106.6080239
590	106.5830356
591	106.5672188
592	106.5399903
593	106.5318217
594	106.5116798
595	106.504689
596	106.4777351
597	106.4674788
598	106.4536494
599	106.4396429
600	106.4260886
601	106.3955575
602	106.375081
603	106.354702
604	106.3453395
605	106.3149889
606	106.297666
607	106.2819111
608	106.2510837
609	106.2416811
610	106.2189812
611	106.199165
612	106.1643698
613	106.1334213
614	106.1207404
615	106.0881776
616	106.076496
617	106.0526066
618	106.0411187
619	106.0258468
620	106.0068717
621	105.9855054
622	105.9488232
623	105.9405637
624	105.9179001
625	105.8826637
626	105.8711013
627	105.8420957
628	105.820721
629	105.8004558
630	105.7716054
631	105.7459368
632	105.7239806
633	105.6942479
634	105.670512
635	105.6516232
636	105.6362564
637	105.6074369
638	105.5974052
639	105.5842264
640	105.5759982
641	105.5413562
642	105.5276337
643	105.5060602
644	105.490739
645	105.4671219
646	105.4350738
647	105.4038134
648	105.3901706
649	105.3592149
650	105.3343464
651	105.3075879
652	105.2924889
653	105.2712856
654	105.2501892
655	105.2234849
656	105.2105704
657	105.198646
658	105.1706185
659	105.1472945
660	105.1261
661	105.0964878
662	105.0637881
663	105.0502903
664	105.0416391
665	105.0284902
666	105.0079296
667	104.997979
668	104.969556
669	104.9570301
670	104.9384151
671	104.9123759
672	104.8955591
673	104.8572824
674	104.8390478
675	104.8280694
676	104.8216663
677	104.8099307
678	104.803385
679	104.7830117
680	104.7496961
681	104.7356488
682	104.7303108
683	104.7245245
684	104.7065053
685	104.682556
686	104.6458774
687	104.6253888
688	104.6052837
689	104.5799541
690	104.5416782
691	104.5199589
692	104.5034767
693	104.4879763
694	104.4612263
695	104.4253916
696	104.398803
697	104.3923896
698	104.3764187
699	104.36595
700	104.3276691
701	104.3071182
702	104.2857091
703	104.2648868
704	104.2332772
705	104.2069199
706	104.2011685
707	104.1682433
708	104.1315994
709	104.1137892
710	104.093321
711	104.0743803
712	104.0396647
713	104.0182966
714	103.9978002
715	103.9856814
716	103.9498906
717	103.9398405
718	103.913499
719	103.8964165
720	103.881639
721	103.8677695
722	103.8401625
723	103.8181209
724	103.7739257
725	103.7485324
726	103.7279564
727	103.7061982
728	103.6936055
729	103.6625962
730	103.6410686
731	103.6003721
732	103.5829151
733	103.5661343
734	103.5417629
735	103.5288346
736	103.5025619
737	103.4792775
738	103.4495736
739	103.4180632
740	103.4098497
741	103.3766162
742	103.366821
743	103.3350207
744	103.3104073
745	103.2794473
746	103.2604636
747	103.230056
748	103.2021406
749	103.1844768
750	103.1802435
751	103.1624551
752	103.1482077
753	103.1354076
754	103.1204623
755	103.1104883
756	103.0861532
757	103.0682401
758	103.0347769
759	103.0228926
760	103.0050342
761	102.9647949
762	102.9397894
763	102.9101782
764	102.9030653
765	102.8846533
766	102.8569828
767	102.8413975
768	102.8319817
769	102.8235797
770	102.8065794
771	102.7802811
772	102.7543719
773	102.7432641
774	102.7271332
775	102.717973
776	102.7097654
777	102.7011623
778	102.6817906
779	102.6729593
780	102.6693324
781	102.6457687
782	102.6305596
783	102.6143915
784	102.5977422
785	102.5726786
786	102.5333193
787	102.5160902
788	102.4935428
789	102.4614174
790	102.4437135
791	102.4033547
792	102.3886894
793	102.3707127
794	102.3447563
795	102.3356953
796	102.316398
797	102.2982178
798	102.2732644
799	102.2522034
800	102.2260079
801	102.2125658
802	102.1905936
803	102.1672805
804	102.1531574
805	102.1300017
806	102.117806
807	102.0994276
808	102.0750122
809	102.0503472
810	102.0275864
811	102.0079064
812	101.9896903
813	101.965387
814	101.9470817
815	101.9271332
816	101.8977828
817	101.8658773
818	101.8327787
819	101.818386
820	101.8020215
821	101.7850739
822	101.769222
823	101.7370666
824	101.7316661
825	101.7168622
826	101.7023355
827	101.6678098
828	101.6590109
829	101.6506343
830	101.63144
831	101.6138475
832	101.5909097
833	101.5568472
834	101.5499903
835	101.5377648
836	101.5209142
837	101.5066633
838	101.4738
839	101.4424388
840	101.4194394
841	101.3935668
842	101.3628011
843	101.3451096
844	101.3290388
845	101.303793
846	101.2899322
847	101.2708091
848	101.2428519
849	101.2269404
850	101.2113015
851	101.1867183
852	101.1629935
853	101.1524074
854	101.1208346
855	101.092426
856	101.0704144
857	101.0616103
858	101.0457064
859	101.0339578
860	101.0071443
861	100.9819682
862	100.9465364
863	100.9296746
864	100.914107
865	100.9057415
866	100.8996428
867	100.8710187
868	100.8593422
869	100.8424007
870	100.8157105
871	100.7853975
872	100.7644131
873	100.7324066
874	100.7182344
875	100.6997977
876	100.679251
877	100.6503481
878	100.6437167
879	100.624286
880	100.6047886
881	100.5870227
882	100.5726442
883	100.5453757
884	100.5231459
885	100.5072164
886	100.479023
887	100.4606318
888	100.4532517
889	100.4321696
890	100.4046104
891	100.3955995
892	100.3750016
893	100.3564656
894	100.3357938
895	100.3236805
896	100.3188907
897	100.3006762
898	100.2881693
899	100.2711963
900	100.2525547
901	100.2394575
902	100.2322643
903	100.2166633
904	100.1984491
905	100.1805821
906	100.1681093
907	100.1537498
908	100.1276177
909	100.1200246
910	100.1103211
911	100.0905943
912	100.0761616
913	100.0606698
914	100.0549463
915	100.0378446
916	100.0258295
917	100.0110679
918	99.9946117
919	99.98148179
920	99.96468029
921	99.95159716
922	99.94032224
923	99.93073759
924	99.92265878
925	99.91955779
926	99.89856459
927	99.88128696
928	99.87452718
929	99.86337544
930	99.85321661
931	99.83208098
932	99.82382534
933	99.81599369
934	99.8144739
935	99.80321376
936	99.78863148
937	99.77938132
938	99.75773209
939	99.74904997
940	99.72218373
941	99.70842876
942	99.69685399
943	99.68569906
944	99.67936832
945	99.6702452
946	99.65486141
947	99.61826168
948	99.60268846
949	99.58147895
950	99.56749357
951	99.55072253
952	99.52900617
953	99.51920242
954	99.50882191
955	99.49059942
956	99.4867333
957	99.47240679
958	99.44903063
959	99.44143597
960	99.43487324
961	99.41710043
962	99.38818912
963	99.37519728
964	99.36428614
965	99.35762356
966	99.34645823
967	99.33807405
968	99.32975411
969	99.31936056
970	99.27755265
971	99.25503997
972	99.22732738
973	99.20086566
974	99.18035281
975	99.15270374
976	99.13811815
977	99.12844008
978	99.10512507
979	99.09799307
980	99.07599945
981	99.03883208
982	99.03036969
983	99.02152231
984	98.99824983
985	98.98669697
986	98.96537838
987	98.94891611
988	98.9397919
989	98.90536471
990	98.89081279
991	98.87783471
992	98.85960477
993	98.84976969
994	98.83998907
995	98.81499474
996	98.78395967
997	98.75894516
998	98.74547862
999	98.71643547
